epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,772.829,1.44065,0.6046,1.15299,0.91227,0.9639,0.9455,0.48344,1.71193,0.61264,1.33697,0.0011684,0.0011684,0.0011684
44,790.59,1.42401,0.60247,1.1414,0.91005,0.97473,0.95136,0.50221,1.6821,0.61045,1.30949,0.0011486,0.0011486,0.0011486
45,808.722,1.42637,0.59575,1.14689,0.9173,0.96104,0.96435,0.50555,1.69927,0.60927,1.31408,0.0011288,0.0011288,0.0011288
46,827.088,1.41476,0.59047,1.14175,0.89952,0.96029,0.93894,0.49462,1.69802,0.62921,1.32474,0.001109,0.001109,0.001109
47,844.847,1.40364,0.5877,1.14791,0.89978,0.97834,0.94095,0.48343,1.68548,0.61092,1.32214,0.0010892,0.0010892,0.0010892
48,862.456,1.38573,0.58157,1.12586,0.90626,0.97726,0.95095,0.49254,1.72776,0.61067,1.36617,0.0010694,0.0010694,0.0010694
49,880.113,1.37919,0.5878,1.127,0.90687,0.97112,0.93289,0.48216,1.72673,0.61836,1.35388,0.0010496,0.0010496,0.0010496
50,898.983,1.37032,0.5782,1.13541,0.91495,0.97112,0.93752,0.47394,1.73396,0.63231,1.34815,0.0010298,0.0010298,0.0010298
51,916.574,1.38484,0.57663,1.12484,0.90216,0.97834,0.95089,0.50036,1.71452,0.61111,1.34794,0.00101,0.00101,0.00101
52,934.418,1.37145,0.57163,1.12747,0.89582,0.97473,0.94173,0.49316,1.7307,0.61965,1.36643,0.0009902,0.0009902,0.0009902
53,952.138,1.34755,0.57496,1.1345,0.90123,0.96029,0.9296,0.47122,1.78627,0.62005,1.40182,0.0009704,0.0009704,0.0009704
54,970.615,1.36029,0.56828,1.13482,0.8914,0.97473,0.94361,0.4957,1.71159,0.595,1.35791,0.0009506,0.0009506,0.0009506
55,988.591,1.32052,0.56022,1.11169,0.89951,0.96943,0.93693,0.48334,1.74961,0.60629,1.38057,0.0009308,0.0009308,0.0009308
56,1006.49,1.33398,0.55957,1.10313,0.90542,0.97473,0.94714,0.48787,1.73517,0.60545,1.35983,0.000911,0.000911,0.000911
57,1024.1,1.28775,0.54035,1.10771,0.91088,0.97473,0.95065,0.49779,1.73673,0.61514,1.36735,0.0008912,0.0008912,0.0008912
58,1042.24,1.31483,0.54901,1.09601,0.8996,0.97112,0.94454,0.48713,1.74219,0.63023,1.36485,0.0008714,0.0008714,0.0008714
59,1060.77,1.29734,0.54835,1.08861,0.90989,0.96751,0.93031,0.46908,1.73281,0.62548,1.36599,0.0008516,0.0008516,0.0008516
60,1078.6,1.28139,0.54704,1.08091,0.90076,0.97112,0.94539,0.49617,1.70861,0.6116,1.35999,0.0008318,0.0008318,0.0008318
61,1096.22,1.27727,0.53931,1.09046,0.90659,0.97112,0.93907,0.48304,1.75389,0.63168,1.38323,0.000812,0.000812,0.000812
62,1114.02,1.26884,0.53719,1.07262,0.90498,0.96271,0.94543,0.48734,1.72031,0.60028,1.35156,0.0007922,0.0007922,0.0007922
63,1133.04,1.26159,0.53727,1.07679,0.90299,0.95668,0.93505,0.47816,1.75922,0.62786,1.37752,0.0007724,0.0007724,0.0007724
64,1151,1.25942,0.53423,1.07214,0.90854,0.97112,0.95392,0.47746,1.77297,0.63427,1.38986,0.0007526,0.0007526,0.0007526
65,1168.56,1.26653,0.53645,1.07517,0.89253,0.9639,0.93527,0.47678,1.77254,0.62818,1.37926,0.0007328,0.0007328,0.0007328
66,1186.36,1.2415,0.53383,1.07347,0.91471,0.9679,0.93553,0.46487,1.77183,0.63265,1.39261,0.000713,0.000713,0.000713
67,1204.4,1.24309,0.52652,1.07181,0.90645,0.95668,0.92657,0.45737,1.78097,0.61331,1.39345,0.0006932,0.0006932,0.0006932
68,1223.2,1.22306,0.52198,1.07193,0.90371,0.9639,0.93691,0.48493,1.75326,0.6066,1.36708,0.0006734,0.0006734,0.0006734
69,1240.6,1.22134,0.52464,1.07219,0.91155,0.96739,0.93447,0.49003,1.75564,0.61041,1.37455,0.0006536,0.0006536,0.0006536
